13,-53,-4527.8672957481285
-20,49,-7436.113898865643
0,-81,492.7005917139182
-13,15,-1590.275246338692
94,7,576.3072848337661
-89,-81,46602.77984675774
63,4,44.22746937811396
3,14,226.0974020219701
27,-63,-11761.730605937299
-33,-30,6414.418410910528
93,60,34803.839860931905
-91,-46,25032.416033217094
-9,91,-6349.632762532046
-2,-73,1460.4292935891153
39,-5,-1912.801508575563
-49,30,-11882.177189917002
-82,-25,10778.491505615768
-74,81,-45505.86842108245
65,62,26023.89655034736
-75,56,-32878.04202671731
-89,-77,44080.66560155219
-49,-98,32794.33032682149
14,-7,-673.5927934048559
-63,68,-32650.24326185916
52,-65,-24389.762409500712
46,-49,-16325.248431431357
56,45,16065.102181957172
-87,14,-12772.504684815647
99,35,19607.347192735233
-19,-7,712.0626958547467
-7,81,-4496.275287880065
-8,-59,3596.814632376742
23,-90,-14106.805783110512
-40,44,-13552.061876151694
15,38,3726.795233050935
-39,48,-14317.731763775615
-78,1,-3926.4685124873486
49,-88,-30628.091876407452
-69,-23,8563.145458508337
91,-15,-13191.768859609569
-86,10,-10147.941504754543
-27,-62,11614.76123339548
-100,-7,-497.6140469400512
-84,61,-40120.40907789632
94,23,11011.384275690456
87,-16,-13039.29422470605
-47,-83,26495.478027458306
-79,12,-10171.79169705338
36,31,7149.501556171327
37,13,2772.709067962017
-51,35,-14227.289533200345
-4,49,-1681.2381490240116
-85,-34,16456.301453575885
-31,71,-16447.121390606026
-19,-60,8082.085147925213
84,-40,-26422.131880326182
-58,86,-37358.545246270696
21,-75,-10686.831949227479
-68,-28,10887.390031578308
74,-25,-15197.623014367191
-77,41,-25644.630444974096
-56,-39,13712.311485495697
52,-2,-1823.5742475144773
-36,43,-11895.40679110783
81,-32,-20863.931848607746
100,68,42649.767688500055
-34,-57,13184.58444807605
-27,-73,13753.647766641037
56,-94,-37588.97602635381
-86,23,-18063.878427820317
-25,-27,4466.786324863602
-92,16,-15027.47789273766
72,11,3219.858943141655
39,-11,-3510.4720003532257
61,-67,-29781.191032287512
-90,84,-57868.87561074411
77,-81,-45782.198359084505
-46,-87,27279.28242450804
42,54,14874.646008416865
-24,-97,16479.986678315392
-100,-71,44691.13731221883
34,-58,-13864.111070040632
-33,-21,4289.916082778044
-63,-19,6226.750469360096
70,-61,-31653.28420015311
-5,28,-1174.5833427221257
71,31,13026.461083891043
53,2,-425.0528267235939
1,38,47.93621789377317
-73,-93,45094.86593505011
17,74,8300.278862190586
22,-50,-7533.016799833649
67,50,21219.177481577593
-16,6,-903.6916792871889
-32,-18,3491.1666833607105
68,-92,-45243.071002521916
-80,85,-51671.56672196171
67,-5,-4255.391110501765
-59,39,-18337.658447687616
20,97,12893.744885185957
-31,9,-2620.159751684908
-55,68,-28338.163004754024
-14,80,-8475.618222834557
-18,94,-12651.98175996966
-81,-61,31307.87518994637
21,-53,-7593.748159628753
17,-37,-4232.360243702715
17,-71,-8086.615815548724
-69,-34,13947.504222783225
61,-67,-29791.70144107759
-22,-98,15351.163723758154
-23,89,-15222.954068076402
-76,-54,25830.1151071366
-86,-65,35455.679912730586
40,-25,-7459.468330121825
29,55,10549.673164789461
51,56,18583.38375343416
-85,85,-55075.82300661789
10,-58,-3716.8937064651777
32,-68,-15189.411626339992
-4,87,-2973.2526696945283
98,39,22165.883735505395
85,99,55078.35132172221
-34,60,-15363.407251447548
-16,78,-9396.489609958104
-72,88,-47787.10648030561
5,40,1179.6474901878107
-14,-18,1725.2455858621254
31,49,10000.766613645284
98,-37,-29502.834132460895
88,-99,-63849.196538741366
81,-40,-25356.057517810896
73,77,36545.56834546359
73,41,18370.54331069616
-42,-90,25948.661928106194
-57,-59,22018.362003223894
-96,-53,30907.27218349804
6,8,310.55142090620757
-68,-38,15700.11632214182
55,58,20729.73949678211
84,-30,-20594.283568516163
-38,-31,7546.124500193942
42,65,18022.17890280951
-43,-39,10863.00942225832
72,79,37076.61308754118
-58,-37,13300.165914010207
98,22,10610.29179723781
-86,-98,55501.21219730971
5,-93,-2670.3975312570205
84,-54,-34573.85593532436
23,94,14416.07238772704
-60,8,-5469.804811607302
-13,-71,6748.285661640932
9,12,693.3529435375979
-34,73,-18531.72664858869
68,61,26665.71318614754
-75,-5,-483.36981561391286
30,50,9884.603899292655
-79,10,-9051.667404366637
-61,-14,3936.6503994258087
-78,38,-24359.053773208074
82,-46,-29107.909722071843
93,-92,-63246.293202646586
6,-91,-3255.7936538817626
12,32,2484.3388893604533
-50,-78,26293.917755130722
100,53,32236.839353173575
-70,34,-19623.17602253615
100,86,55141.212608235306
-24,36,-6643.877138761924
-67,-43,17887.037966596137
19,-46,-5930.454824824189
-97,38,-31159.557683257557
-38,98,-27543.549833475
-77,45,-27827.08854424931
24,-67,-11021.119985026951
10,71,4555.151114562313
-64,-50,20374.448892945264
72,61,28120.88905009793
-65,49,-24984.316130132658
25,-55,-9490.73359171445
96,40,22473.958524543697
77,-52,-30326.212821799592
-91,9,-10329.694426542916
-44,13,-5242.091390866897
24,95,15217.339742304628
-41,-21,5135.0701544528265
98,-52,-39704.61922053917
-64,-36,14007.971142163187
-60,11,-6741.823357056569
-5,-9,344.8092671748206
-48,-41,12660.33794536749
-16,58,-7035.546405796346
-18,4,-764.30619031777
-53,-60,20987.816003878495
-11,-20,1567.7527108287018
-15,-14,1379.1439609540018
75,-84,-46061.983019314226
48,-50,-17430.4378258159
90,-48,-33592.319208622335
